municipio_codigo,municipio_nombre,poblacion_empadronada,rango_edad,sexo
10,Alpedrete,563,De 10 a 14 años,Hombre
10,Alpedrete,443,De 15 a 19 años,Hombre
10,Alpedrete,371,De 20 a 24 años,Hombre
10,Alpedrete,287,De 25 a 29 años,Hombre
10,Alpedrete,331,De 30 a 34 años,Hombre
10,Alpedrete,488,De 35 a 39 años,Hombre
10,Alpedrete,711,De 40 a 44 años,Hombre
10,Alpedrete,786,De 45 a 49 años,Hombre
10,Alpedrete,636,De 50 a 54 años,Hombre
10,Alpedrete,432,De 55 a 59 años,Hombre
10,Alpedrete,324,De 60 a 64 años,Hombre
10,Alpedrete,228,De 65 a 69 años,Hombre
10,Alpedrete,210,De 70 a 74 años,Hombre
10,Alpedrete,149,De 75 a 79 años,Hombre
10,Alpedrete,99,De 80 a 84 años,Hombre
10,Alpedrete,48,De 85 a 89 años,Hombre
10,Alpedrete,14,De 90 a 94 años,Hombre
10,Alpedrete,2,De 95 a 99 años,Hombre
10,Alpedrete,1,De 100 y más años,Hombre
10,Alpedrete,318,De 0 a 4 años,Mujer
10,Alpedrete,517,De 5 a 9 años,Mujer
10,Alpedrete,530,De 10 a 14 años,Mujer
10,Alpedrete,439,De 15 a 19 años,Mujer
10,Alpedrete,351,De 20 a 24 años,Mujer
10,Alpedrete,328,De 25 a 29 años,Mujer
10,Alpedrete,318,De 30 a 34 años,Mujer
10,Alpedrete,525,De 35 a 39 años,Mujer
10,Alpedrete,792,De 40 a 44 años,Mujer
10,Alpedrete,787,De 45 a 49 años,Mujer
10,Alpedrete,616,De 50 a 54 años,Mujer
10,Alpedrete,417,De 55 a 59 años,Mujer
10,Alpedrete,294,De 60 a 64 años,Mujer
10,Alpedrete,265,De 65 a 69 años,Mujer
10,Alpedrete,266,De 70 a 74 años,Mujer
10,Alpedrete,188,De 75 a 79 años,Mujer
10,Alpedrete,129,De 80 a 84 años,Mujer
10,Alpedrete,119,De 85 a 89 años,Mujer
10,Alpedrete,43,De 90 a 94 años,Mujer
10,Alpedrete,17,De 95 a 99 años,Mujer
10,Alpedrete,1,De 100 y más años,Mujer
11,Ambite,18,De 0 a 4 años,Hombre
11,Ambite,15,De 5 a 9 años,Hombre
11,Ambite,17,De 10 a 14 años,Hombre
11,Ambite,12,De 15 a 19 años,Hombre
11,Ambite,21,De 20 a 24 años,Hombre
11,Ambite,29,De 25 a 29 años,Hombre
11,Ambite,17,De 30 a 34 años,Hombre
11,Ambite,33,De 35 a 39 años,Hombre
11,Ambite,36,De 40 a 44 años,Hombre
11,Ambite,41,De 45 a 49 años,Hombre
11,Ambite,32,De 50 a 54 años,Hombre
11,Ambite,16,De 55 a 59 años,Hombre
11,Ambite,13,De 60 a 64 años,Hombre
11,Ambite,9,De 65 a 69 años,Hombre
11,Ambite,15,De 70 a 74 años,Hombre
11,Ambite,6,De 75 a 79 años,Hombre
11,Ambite,13,De 80 a 84 años,Hombre
11,Ambite,7,De 85 a 89 años,Hombre
11,Ambite,2,De 90 a 94 años,Hombre
11,Ambite,0,De 95 a 99 años,Hombre
11,Ambite,0,De 100 y más años,Hombre
11,Ambite,16,De 0 a 4 años,Mujer
11,Ambite,23,De 5 a 9 años,Mujer
11,Ambite,16,De 10 a 14 años,Mujer
11,Ambite,14,De 15 a 19 años,Mujer
11,Ambite,12,De 20 a 24 años,Mujer
11,Ambite,11,De 25 a 29 años,Mujer
11,Ambite,25,De 30 a 34 años,Mujer
11,Ambite,29,De 35 a 39 años,Mujer
11,Ambite,29,De 40 a 44 años,Mujer
11,Ambite,25,De 45 a 49 años,Mujer
11,Ambite,26,De 50 a 54 años,Mujer
11,Ambite,14,De 55 a 59 años,Mujer
11,Ambite,14,De 60 a 64 años,Mujer
11,Ambite,10,De 65 a 69 años,Mujer
11,Ambite,14,De 70 a 74 años,Mujer
11,Ambite,14,De 75 a 79 años,Mujer
11,Ambite,24,De 80 a 84 años,Mujer
11,Ambite,7,De 85 a 89 años,Mujer
11,Ambite,1,De 90 a 94 años,Mujer
11,Ambite,1,De 95 a 99 años,Mujer
11,Ambite,0,De 100 y más años,Mujer
12,Anchuelo,46,De 0 a 4 años,Hombre
12,Anchuelo,49,De 5 a 9 años,Hombre
12,Anchuelo,26,De 10 a 14 años,Hombre
12,Anchuelo,27,De 15 a 19 años,Hombre
12,Anchuelo,28,De 20 a 24 años,Hombre
12,Anchuelo,39,De 25 a 29 años,Hombre
12,Anchuelo,54,De 30 a 34 años,Hombre
12,Anchuelo,73,De 35 a 39 años,Hombre
12,Anchuelo,71,De 40 a 44 años,Hombre
12,Anchuelo,49,De 45 a 49 años,Hombre
12,Anchuelo,46,De 50 a 54 años,Hombre
12,Anchuelo,38,De 55 a 59 años,Hombre
12,Anchuelo,28,De 60 a 64 años,Hombre
12,Anchuelo,22,De 65 a 69 años,Hombre
12,Anchuelo,21,De 70 a 74 años,Hombre
12,Anchuelo,11,De 75 a 79 años,Hombre
12,Anchuelo,6,De 80 a 84 años,Hombre
12,Anchuelo,11,De 85 a 89 años,Hombre
12,Anchuelo,2,De 90 a 94 años,Hombre
12,Anchuelo,0,De 95 a 99 años,Hombre
12,Anchuelo,0,De 100 y más años,Hombre
12,Anchuelo,35,De 0 a 4 años,Mujer
12,Anchuelo,40,De 5 a 9 años,Mujer
12,Anchuelo,30,De 10 a 14 años,Mujer
12,Anchuelo,23,De 15 a 19 años,Mujer
12,Anchuelo,23,De 20 a 24 años,Mujer
12,Anchuelo,38,De 25 a 29 años,Mujer
12,Anchuelo,44,De 30 a 34 años,Mujer
12,Anchuelo,75,De 35 a 39 años,Mujer
12,Anchuelo,68,De 40 a 44 años,Mujer
12,Anchuelo,42,De 45 a 49 años,Mujer
12,Anchuelo,25,De 50 a 54 años,Mujer
12,Anchuelo,42,De 55 a 59 años,Mujer
12,Anchuelo,24,De 60 a 64 años,Mujer
12,Anchuelo,27,De 65 a 69 años,Mujer
